Time,Biguacu Voltage
0.006533333,202.0103665
0.00655,201.8144609
0.006566667,202.0468136
0.006583333,202.0626885
0.0066,201.2957109
0.006616667,199.4510201
0.006633333,196.6026763
0.00665,193.1603679
0.006666667,189.7175989
0.006683333,186.836546
0.0067,184.8477835
0.006716667,183.7374932
0.006733333,183.1624923
0.00675,182.5862597
0.006766667,181.4844972
0.006783333,179.5432122
0.0068,176.775385
0.006816667,173.5129086
0.006833333,170.2773047
0.00685,167.5782648
0.006866667,165.7162755
0.006883333,164.6642078
0.0069,164.0731834
0.006916667,163.4012922
0.006933333,162.1173239
0.00695,159.903085
0.006966667,156.7779479
0.006983333,153.0981455
0.007,149.4302393
0.007016667,146.3455293
0.007033333,144.212077
0.00705,143.0620806
0.007066667,142.5840547
0.007083333,142.2421978
0.0071,141.4772724
0.007116667,139.9125342
0.007133333,137.4865449
0.00715,134.4628944
0.007166667,131.314311
0.007183333,128.5272636
0.0072,126.4042087
0.007216667,124.9419207
0.007233333,123.834997
0.00725,122.6046035
0.007266667,120.8026078
0.007283333,118.2099229
0.0073,114.9478655
0.007316667,111.4534647
0.007333333,108.3223053
0.00735,106.075689
0.007366667,104.9418323
0.007383333,104.7398168
0.0074,104.9190383
0.007416667,104.748461
0.007433333,103.5907136
0.00745,101.158896
0.007466667,97.6543319
0.007483333,93.72319736
0.0075,90.2358528
0.007516667,87.96110097
0.007533333,87.2526735
0.00755,87.8686977
0.007566667,89.00308366
0.007583333,89.53376621
0.0076,88.41220745
0.007616667,85.06088689
0.007633333,79.63313365
0.00765,73.02962711
0.007666667,66.6466039
0.007683333,61.92541438
0.0077,59.848494
0.007716667,60.55530571
0.007733333,63.22099866
0.00775,66.25835045
0.007766667,67.79617514
0.007783333,66.29065473
0.0078,61.07344004
0.007816667,52.65133543
0.007833333,42.64541692
0.00785,33.37010178
0.007866667,27.1688223
0.007883333,25.70457587
0.0079,29.42356623
0.007916667,37.36115128
0.007933333,47.35645584
0.00795,56.61777902
0.007966667,62.47454324
0.007983333,63.09619185
0.008,57.9707112
0.008016667,48.01027675
0.008033333,35.26435089
0.00805,22.33570507
0.008066667,11.67713119
0.008083333,4.972462126
0.0081,2.769828435
0.008116667,4.451903026
0.008133333,8.52505164
0.00815,13.11893348
0.008166667,16.5363713
0.008183333,17.69280031
0.0082,16.33138416
0.008216667,12.97603141
0.008233333,8.664785488
0.00825,4.56612722
0.008266667,1.604644372
0.008283333,0.2066421
0.0083,0.229159942
0.008316667,1.074500309
0.008333333,1.936237508
0.00835,2.087767443
0.008366667,1.119047977
0.008383333,-0.949711796
0.0084,-3.705994152
0.008416667,-6.514571761
0.008433333,-8.758560403
0.00845,-10.07084631
0.008466667,-10.47855002
0.008483333,-10.41010466
0.0085,-10.55708882
0.008516667,-11.62944412
0.008533333,-14.07997796
0.00855,-17.89067552
0.008566667,-22.50263731
0.008583333,-26.93373797
0.0086,-30.07155078
0.008616667,-31.06863096
0.008633333,-29.72131713
0.00865,-26.69871591
0.008666667,-23.51532927
0.008683333,-22.20717744
0.0087,-24.76239999
0.008716667,-32.44759207
0.008733333,-45.23073726
0.00875,-61.50569891
0.008766667,-78.26115825
0.008783333,-91.71813431
0.0088,-98.31458455
0.008816667,-95.78641168
0.008833333,-84.02595349
0.00885,-65.42261007
0.008866667,-44.51078731
0.008883333,-26.94195071
0.0089,-18.00797589
0.008916667,-21.10734177
0.008933333,-36.60653507
0.00895,-61.47576427
0.008966667,-89.87996097
0.008983333,-114.633165
0.009,-129.1553964
0.009016667,-129.3904382
0.009033333,-115.1141251
0.00905,-90.20631647
0.009066667,-61.74347478
0.009083333,-38.11413139
0.0091,-26.66355968
0.009116667,-31.54055944
0.009133333,-52.38986614
0.00915,-84.30796174
0.009166667,-119.118696
0.009183333,-147.6335569
0.0092,-162.2584542
0.009216667,-159.189883
0.009233333,-139.5495878
0.00925,-109.111103
0.009266667,-76.68477506
0.009283333,-51.62588068
0.0093,-41.19194442
0.009316667,-48.51987351
0.009333333,-71.80686881
0.00935,-104.918178
0.009366667,-139.2201267
0.009383333,-166.0781046
0.0094,-179.2745634
0.009416667,-176.6449622
0.009433333,-160.4824118
0.00945,-136.6425558
0.009466667,-112.6693132
0.009483333,-95.54032976
0.0095,-89.71693279
0.009516667,-96.05786524
0.009533333,-111.8662964
0.00955,-131.9821047
0.009566667,-150.5199192
0.009583333,-162.6822232
0.0096,-166.0918545
0.009616667,-161.2745141
0.009633333,-151.2111302
0.00965,-140.1749063
0.009666667,-132.2750452
0.009683333,-130.1883861
0.0097,-134.4624455
0.009716667,-143.5605907
0.009733333,-154.568719
0.00975,-164.2768216
0.009766667,-170.2517462
0.009783333,-171.5529595
0.0098,-168.8896448
0.009816667,-164.2184263
0.009833333,-159.9658428
0.00985,-158.1682718
0.009866667,-159.8240986
0.009883333,-164.656178
0.0099,-171.3274021
0.009916667,-177.9954958
0.009933333,-182.9882263
0.00995,-185.358527
0.009966667,-185.1412345
0.009983333,-183.2510307
0.01,-181.0896277
0.010016667,-180.0240156
0.010033333,-180.9271379
0.01005,-183.932843
0.010066667,-188.4681305
0.010083333,-193.5230041
0.0101,-198.0390994
0.010116667,-201.2686382
0.010133333,-202.9812912
0.01015,-203.4638612
0.010166667,-203.338256
0.010183333,-203.2864665
0.0102,-203.795553
0.010216667,-205.0154584
0.010233333,-206.7692993
0.01025,-208.6925781
0.010266667,-210.4294946
0.010283333,-211.7986632
0.0103,-212.8608395
0.010316667,-213.8672256
0.010333333,-215.1186918
0.01035,-216.8027417
0.010366667,-218.8822983
0.010383333,-221.086606
0.0104,-223.0103862
0.010416667,-224.2812711
0.010433333,-224.7261901
0.01045,-224.4664563
0.010466667,-223.8989631
0.010483333,-223.566003
0.0105,-223.9608508
0.010516667,-225.3428138
0.010533333,-227.6334783
0.01055,-230.4360619
0.010566667,-233.1735221
0.010583333,-235.2960672
0.0106,-236.4821181
0.010616667,-236.7586295
0.010633333,-236.4962551
0.01065,-236.2809271
0.010666667,-236.7087195
0.010683333,-238.1785413
0.0107,-240.7571797
0.010716667,-244.1638505
0.010733333,-247.8772026
0.01075,-251.323248
0.010766667,-254.0743163
0.010783333,-255.986972
0.0108,-257.2311045
0.010816667,-258.203555
0.010833333,-259.3621244
0.01085,-261.0439307
0.010866667,-263.3358828
0.010883333,-266.0437552
0.0109,-268.7685379
0.010916667,-271.0588195
0.010933333,-272.5807331
0.01095,-273.242146
0.010966667,-273.2264322
0.010983333,-272.9257369
0.011,-272.8008566
0.011016667,-273.2208967
0.011033333,-274.3414756
0.01105,-276.0640275
