# Time [sec]	Mcl_IO.Speed_Rot_Ref	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.IsRMS	Rotor_Curr_Id	Rotor_Curr_Iq	Mcl_Quantities.Flux_Ref
1115.36	0	0	0	0	0.00453105	-3.13007	0.0384701	0.0348544
1115.41	0	0	0	0	0.00453105	-3.13007	0.0384701	0.0348544
1115.47	0	0	0	0	0.00453105	-3.13007	0.0384701	0.0348544
1115.5	0	0	0	0	0.00453105	-3.13007	0.0384701	0.0348544
1115.56	0	0	0	0	0.00453105	-3.13007	0.0384701	0.0348544
1115.61	0	0	0	0	0.00468469	-3.13007	0.0384701	0.0348544
1115.64	0	0	0	0	0.00468469	-3.13007	0.0384701	0.0348544
1115.72	0	0	0	0	0.00468469	-3.13007	0.0384701	0.0348544
1115.75	0	0	0	0	0.00468469	-3.13007	0.0384701	0.0348544
1115.81	0	0	0	0	0.00468469	-3.13007	0.0384701	0.0348544
1115.86	0	0	0	0	0.00455644	-3.13007	0.0384701	0.0348544
1115.91	0	0	0	0	0.00455644	-3.13007	0.0384701	0.0348544
1115.97	0	0	0	0	0.00455644	-3.13007	0.0384701	0.0348544
1116.02	0	0	0	0	0.00455644	-3.13007	0.0384701	0.0348544
1116.06	0	0	0	0	0.00455644	-3.13007	0.0384701	0.0348544
1116.09	0	0	0	0	0.00463743	-3.13007	0.0384701	0.0348544
1116.14	0	0	0	0	0.00463743	-3.13007	0.0384701	0.0348544
1116.2	0	0	0	0	0.00463743	-3.13007	0.0384701	0.0348544
1116.25	0	0	0	0	0.00463743	-3.13007	0.0384701	0.0348544
1116.31	0	0	0	0	0.00463743	-3.13007	0.0384701	0.0348544
1116.34	0	0	0	0	0.00462498	-3.13007	0.0384701	0.0348544
1116.39	0	0	0	0	0.00462498	-3.13007	0.0384701	0.0348544
1116.45	0	0	0	0	0.00462498	-3.13007	0.0384701	0.0348544
1116.5	0	0	0	0	0.00462498	-3.13007	0.0384701	0.0348544
1116.56	0	0	0	0	0.00462498	-3.13007	0.0384701	0.0348544
1116.61	0	0	0	0	0.00456104	-3.13007	0.0384701	0.0348544
1116.64	0	0	0	0	0.00456104	-3.13007	0.0384701	0.0348544
1116.72	0	0	0	0	0.00456104	-3.13007	0.0384701	0.0348544
1116.75	0	0	0	0	0.00456104	-3.13007	0.0384701	0.0348544
1116.81	0	0	0	0	0.00456104	-3.13007	0.0384701	0.0348544
1116.86	0	0	0	0	0.00446694	-3.13007	0.0384701	0.0348544
1116.91	0	0	0	0	0.00446694	-3.13007	0.0384701	0.0348544
1116.97	0	0	0	0	0.00446694	-3.13007	0.0384701	0.0348544
1117.02	0	0	0	0	0.00446694	-3.13007	0.0384701	0.0348544
1117.06	0	0	0	0	0.00446694	-3.13007	0.0384701	0.0348544
1117.09	0	0	0	0	0.00446694	-3.13007	0.0384701	0.0348544
1117.14	0	0	0	0	0.00469475	-3.13007	0.0384701	0.0348544
1117.2	0	0	0	0	0.00469475	-3.13007	0.0384701	0.0348544
1117.25	0	0	0	0	0.00469475	-3.13007	0.0384701	0.0348544
1117.31	0	0	0	0	0.00469475	-3.13007	0.0384701	0.0348544
1117.34	0	0	0	0	0.00469475	-3.13007	0.0384701	0.0348544
1117.42	0	0	0	0	0.00471592	-3.13007	0.0384701	0.0348544
1117.45	0	0	0	0	0.00471592	-3.13007	0.0384701	0.0348544
1117.52	0	0	0	0	0.00471592	-3.13007	0.0384701	0.0348544
1117.56	0	0	0	0	0.00471592	-3.13007	0.0384701	0.0348544
1117.61	0	0	0	0	0.00471592	-3.13007	0.0384701	0.0348544
1117.64	0	0	0	0	0.0046011	-3.13007	0.0384701	0.0348544
1117.72	0	0	0	0	0.0046011	-3.13007	0.0384701	0.0348544
1117.77	0	0	0	0	0.0046011	-3.13007	0.0384701	0.0348544
1117.81	0	0	0	0	0.0046011	-3.13007	0.0384701	0.0348544
1117.86	0	0	0	0	0.0046011	-3.13007	0.0384701	0.0348544
1117.91	0	0	0	0	0.00460737	-3.13007	0.0384701	0.0348544
1117.97	0	0	0	0	0.00460737	-3.13007	0.0384701	0.0348544
1118.02	0	0	0	0	0.00460737	-3.13007	0.0384701	0.0348544
1118.05	0	0	0	0	0.00460737	-3.13007	0.0384701	0.0348544
1118.11	0	0	0	0	0.00460737	-3.13007	0.0384701	0.0348544
1118.14	0	0	0	0	0.00462384	-3.13007	0.0384701	0.0348544
1118.22	0	0	0	0	0.00462384	-3.13007	0.0384701	0.0348544
1118.25	0	0	0	0	0.00462384	-3.13007	0.0384701	0.0348544
1118.3	0	0	0	0	0.00462384	-3.13007	0.0384701	0.0348544
1118.36	0	0	0	0	0.00462384	-3.13007	0.0384701	0.0348544
1118.41	0	0	0	0	0.00453047	-3.13007	0.0384701	0.0348544
1118.47	0	0	0	0	0.00453047	-3.13007	0.0384701	0.0348544
1118.52	0	0	0	0	0.00453047	-3.13007	0.0384701	0.0348544
1118.55	0	0	0	0	0.00453047	-3.13007	0.0384701	0.0348544
1118.61	0	0	0	0	0.00453047	-3.13007	0.0384701	0.0348544
1118.66	0	0	0	0	0.0046538	-3.13007	0.0384701	0.0348544
1118.7	0	0	0	0	0.0046538	-3.13007	0.0384701	0.0348544
1118.77	0	0	0	0	0.0046538	-3.13007	0.0384701	0.0348544
1118.81	0	0	0	0	0.0046538	-3.13007	0.0384701	0.0348544
1118.86	0	0	0	0	0.0046538	-3.13007	0.0384701	0.0348544
1118.89	0	0	0	0	0.0046538	-3.13007	0.0384701	0.0348544
1118.97	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1119.03	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
1119.06	0	0	0	0	0.00457997	-3.13007	0.0384701	0.0348544
