Time,Voltage
182,.8387724
183,.843788
184,.8493932
185,.8553287
186,.8613511
187,.8672464
188,.872843
189,.8780186
190,.8827047
191,.8868847
192,.8905888
193,.8938876
194,.896879
195,.8996783
196,.9024042
197,.9051649
198,.9080533
199,.9111344
200,.9144424
201,.9179786
202,.9217138
203,.9255927
204,.9295403
205,.9334703
206,.9372949
207,.9409318
208,.9443145
209,.9473968
210,.9501566
211,.9525976
212,.9547479
213,.9566571
214,.958389
215,.9600172
216,.9616151
217,.963251
218,.9649799
219,.9668379
220,.9688418
221,.9709843
222,.9732396
223,.9755619
224,.9778916
225,.980165
226,.9823161
227,.9842846
228,.9860243
229,.9875027
230,.9887075
231,.9896477
232,.9903486
233,.9908547
234,.9912201
235,.9915059
236,.991773
237,.9920784
238,.9924652
239,.9929633
240,.9935869
241,.9943292
242,.995167
243,.9960641
244,.9969721
245,.9978378
246,.9986107
247,.9992427
248,.9996967
249,.999951
250,1
251,.999853
252,.9995384
253,.9990941
254,.9985694
255,.9980162
256,.9974873
257,.9970267
258,.9966708
259,.9964389
260,.9963371
261,.9963533
262,.9964614
263,.9966219
264,.9967876
265,.9969071
266,.9969288
267,.9968096
268,.9965141
269,.9960213
270,.9953243
271,.9944325
272,.9933678
273,.992165
274,.9908647
275,.9895129
276,.9881504
277,.9868149
278,.9855347
279,.9843218
280,.9831769
281,.9820873
282,.9810255
283,.9799551
284,.9788347
285,.977621
286,.9762721
287,.9747546
288,.973044
289,.9711309
290,.9690159
291,.9667152
292,.9642552
293,.9616703
294,.9589997
295,.9562821
296,.9535527
297,.9508381
298,.948154
299,.9455058
300,.9428842
301,.9402702
302,.9376348
303,.9349446
304,.9321653
305,.9292644
306,.9262167
307,.9230071
308,.9196317
309,.916099
310,.9124278
311,.9086455
312,.9047838
313,.9008756
314,.8969473
315,.8930176
316,.8890924
317,.8851631
318,.8812063
319,.8771878
320,.8730636
321,.8687884
322,.8643226
323,.8596388
324,.8547326
325,.8496276
326,.8443823
327,.8390912
328,.8338863
329,.8289333
330,.8244218
331,.8205568
332,.8175454
333,.815581
334,.8148271
335,.8154022
336,.8173676
337,.8207147
338,.8253613
339,.8311485
340,.8378469
341,.8451632
342,.8527569
